city_id,city_name,market_tier,population,week_start,total_orders,cancelled_orders,complaints,avg_delivery_mins,total_revenue,avg_rating,active_restaurants,active_couriers,avg_courier_earnings,target_avg_delivery_mins,target_cancellation_rate
1,Berlin,Tier-1,3645000,2025-08-18,567,127,55,34.52,16124.32,2.91,1,121,49.56,33,0.05
1,Berlin,Tier-1,3645000,2025-08-25,718,169,70,34.49,20319.7,2.90,1,139,53.85,33,0.05
1,Berlin,Tier-1,3645000,2025-09-01,661,178,47,34.69,18965.92,3.03,1,143,52.35,33,0.05
1,Berlin,Tier-1,3645000,2025-09-08,678,163,76,34.71,19449.36,2.97,1,138,49.35,33,0.05
1,Berlin,Tier-1,3645000,2025-09-15,653,161,61,34.38,18372.75,3.06,1,145,52.26,33,0.05
1,Berlin,Tier-1,3645000,2025-09-22,653,159,59,34.26,18627.43,2.98,1,128,52.39,33,0.05
1,Berlin,Tier-1,3645000,2025-09-29,715,167,76,34.72,19738.26,2.97,1,131,51.66,33,0.05
1,Berlin,Tier-1,3645000,2025-10-06,653,163,64,34.57,17865.93,2.97,1,142,51.55,33,0.05
1,Berlin,Tier-1,3645000,2025-10-13,706,178,76,34.61,19812.19,2.91,1,143,52.29,33,0.05
1,Berlin,Tier-1,3645000,2025-10-20,692,195,74,34.39,19592.7,3.01,1,139,49.73,33,0.05
1,Berlin,Tier-1,3645000,2025-10-27,675,166,66,34.61,18566.81,2.99,1,133,52.1,33,0.05
1,Berlin,Tier-1,3645000,2025-11-03,648,159,64,34.08,17531.05,2.94,1,128,54.14,33,0.05
1,Berlin,Tier-1,3645000,2025-11-10,621,177,61,34.48,17843.66,2.97,1,147,51.52,33,0.05
2,Hamburg,Tier-1,1840000,2025-08-18,0,0,0,31.00,0,4.30,20,129,53.59,33,0.05
2,Hamburg,Tier-1,1840000,2025-08-25,0,0,0,31.00,0,4.30,20,143,51.18,33,0.05
2,Hamburg,Tier-1,1840000,2025-09-01,0,0,0,31.00,0,4.30,20,126,51.68,33,0.05
2,Hamburg,Tier-1,1840000,2025-09-08,0,0,0,31.00,0,4.30,20,144,51.16,33,0.05
2,Hamburg,Tier-1,1840000,2025-09-15,0,0,0,31.00,0,4.30,20,128,49.36,33,0.05
2,Hamburg,Tier-1,1840000,2025-09-22,0,0,0,31.00,0,4.30,20,150,53.33,33,0.05
2,Hamburg,Tier-1,1840000,2025-09-29,0,0,0,31.00,0,4.30,20,130,51.03,33,0.05
2,Hamburg,Tier-1,1840000,2025-10-06,0,0,0,31.00,0,4.30,20,127,52.06,33,0.05
2,Hamburg,Tier-1,1840000,2025-10-13,0,0,0,31.00,0,4.30,20,134,50.69,33,0.05
2,Hamburg,Tier-1,1840000,2025-10-20,0,0,0,31.00,0,4.30,20,130,51.48,33,0.05
2,Hamburg,Tier-1,1840000,2025-10-27,0,0,0,31.00,0,4.30,20,127,54.74,33,0.05
2,Hamburg,Tier-1,1840000,2025-11-03,0,0,0,31.00,0,4.30,20,134,50.87,33,0.05
2,Hamburg,Tier-1,1840000,2025-11-10,0,0,0,31.00,0,4.30,20,135,52.22,33,0.05
3,Munich,Tier-1,1472000,2025-08-18,0,0,0,31.00,0,4.30,20,127,53.54,33,0.05
3,Munich,Tier-1,1472000,2025-08-25,0,0,0,31.00,0,4.30,20,122,51.8,33,0.05
3,Munich,Tier-1,1472000,2025-09-01,0,0,0,31.00,0,4.30,20,127,50.78,33,0.05
3,Munich,Tier-1,1472000,2025-09-08,0,0,0,31.00,0,4.30,20,128,51.59,33,0.05
3,Munich,Tier-1,1472000,2025-09-15,0,0,0,31.00,0,4.30,20,148,52.82,33,0.05
3,Munich,Tier-1,1472000,2025-09-22,0,0,0,31.00,0,4.30,20,148,52.85,33,0.05
3,Munich,Tier-1,1472000,2025-09-29,0,0,0,31.00,0,4.30,20,131,55.22,33,0.05
3,Munich,Tier-1,1472000,2025-10-06,0,0,0,31.00,0,4.30,20,138,52.23,33,0.05
3,Munich,Tier-1,1472000,2025-10-13,0,0,0,31.00,0,4.30,20,130,51.85,33,0.05
3,Munich,Tier-1,1472000,2025-10-20,0,0,0,31.00,0,4.30,20,126,52.04,33,0.05
3,Munich,Tier-1,1472000,2025-10-27,0,0,0,31.00,0,4.30,20,129,51.46,33,0.05
3,Munich,Tier-1,1472000,2025-11-03,0,0,0,31.00,0,4.30,20,133,51.84,33,0.05
3,Munich,Tier-1,1472000,2025-11-10,0,0,0,31.00,0,4.30,20,156,52.06,33,0.05
4,Cologne,Tier-2,1086000,2025-08-18,0,0,0,31.00,0,4.30,20,124,57.69,33,0.05
4,Cologne,Tier-2,1086000,2025-08-25,0,0,0,31.00,0,4.30,20,142,53.39,33,0.05
4,Cologne,Tier-2,1086000,2025-09-01,0,0,0,31.00,0,4.30,20,139,52.22,33,0.05
4,Cologne,Tier-2,1086000,2025-09-08,0,0,0,31.00,0,4.30,20,142,53.11,33,0.05
4,Cologne,Tier-2,1086000,2025-09-15,0,0,0,31.00,0,4.30,20,143,54.51,33,0.05
4,Cologne,Tier-2,1086000,2025-09-22,0,0,0,31.00,0,4.30,20,134,52.35,33,0.05
4,Cologne,Tier-2,1086000,2025-09-29,0,0,0,31.00,0,4.30,20,130,51.76,33,0.05
4,Cologne,Tier-2,1086000,2025-10-06,0,0,0,31.00,0,4.30,20,133,50.3,33,0.05
4,Cologne,Tier-2,1086000,2025-10-13,0,0,0,31.00,0,4.30,20,132,50.89,33,0.05
4,Cologne,Tier-2,1086000,2025-10-20,0,0,0,31.00,0,4.30,20,141,53.47,33,0.05
4,Cologne,Tier-2,1086000,2025-10-27,0,0,0,31.00,0,4.30,20,142,53.14,33,0.05
4,Cologne,Tier-2,1086000,2025-11-03,0,0,0,31.00,0,4.30,20,134,53.17,33,0.05
4,Cologne,Tier-2,1086000,2025-11-10,0,0,0,31.00,0,4.30,20,138,51.81,33,0.05
5,Frankfurt,Tier-2,753000,2025-08-18,613,156,64,35.98,17074.34,2.98,1,106,50.3,33,0.05
5,Frankfurt,Tier-2,753000,2025-08-25,669,145,65,36.44,18982.61,3.07,1,137,52.38,33,0.05
5,Frankfurt,Tier-2,753000,2025-09-01,632,172,68,36.41,18242.56,3.00,1,144,51.27,33,0.05
5,Frankfurt,Tier-2,753000,2025-09-08,692,170,76,36.62,19784.01,3.07,1,128,51.96,33,0.05
5,Frankfurt,Tier-2,753000,2025-09-15,667,166,78,36.60,18755.8,3.01,1,138,50.71,33,0.05
5,Frankfurt,Tier-2,753000,2025-09-22,675,147,58,36.33,18726.35,3.02,1,139,51.32,33,0.05
5,Frankfurt,Tier-2,753000,2025-09-29,683,160,60,36.26,18755.67,3.03,1,143,50.16,33,0.05
5,Frankfurt,Tier-2,753000,2025-10-06,663,175,72,36.45,18831.63,2.96,1,137,51.04,33,0.05
5,Frankfurt,Tier-2,753000,2025-10-13,640,161,69,36.36,18199.33,2.95,1,129,50.08,33,0.05
5,Frankfurt,Tier-2,753000,2025-10-20,664,148,68,36.48,18887.63,3.05,1,131,50.34,33,0.05
