complaint_id,order_id,customer_id,restaurant_id,city_id,city_name,courier_id,courier_name,complaint_category,notes,order_status,reason_cancel,actual_sla_mins,order_value,complaint_flag,is_cancelled
baae8b3c-c1f8-11f0-8e3d-489ebd4daa67,97f78fd8-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00002,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,missing_item,"Auto-generated complaint note",delivered,None,30,27.5,1,0
baae9e9f-c1f8-11f0-8e3d-489ebd4daa67,97f7907e-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00005,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",delivered,None,30,18.55,1,0
baaea07c-c1f8-11f0-8e3d-489ebd4daa67,97f79227-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00086,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,rude_courier,"Auto-generated complaint note",failed,None,33,33.76,1,0
baaea184-c1f8-11f0-8e3d-489ebd4daa67,97f7945e-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00095,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",returned,None,39,29.23,1,0
baaea318-c1f8-11f0-8e3d-489ebd4daa67,97f79ce6-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00091,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,rude_courier,"Auto-generated complaint note",failed,None,25,34.63,1,0
baaea589-c1f8-11f0-8e3d-489ebd4daa67,97f7b85f-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00077,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,rude_courier,"Auto-generated complaint note",delivered,None,36,21.57,1,0
baaea682-c1f8-11f0-8e3d-489ebd4daa67,97f7bb26-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00020,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",cancelled,None,35,44.25,1,1
baaea732-c1f8-11f0-8e3d-489ebd4daa67,97f7bba6-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00062,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,missing_item,"Auto-generated complaint note",delivered,None,26,16.56,1,0
baaea90b-c1f8-11f0-8e3d-489ebd4daa67,97f7d1c3-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00029,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",delivered,None,43,39.31,1,0
baaeaaae-c1f8-11f0-8e3d-489ebd4daa67,97f7e532-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00082,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",returned,None,30,22.43,1,0
baaeab5f-c1f8-11f0-8e3d-489ebd4daa67,97f7e5c0-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00009,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,rude_courier,"Auto-generated complaint note",delivered,None,31,45.73,1,0
baaeac2e-c1f8-11f0-8e3d-489ebd4daa67,97f7e744-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00007,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,missing_item,"Auto-generated complaint note",cancelled,None,39,25.38,1,1
baaead50-c1f8-11f0-8e3d-489ebd4daa67,97f7eb30-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00094,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,rude_courier,"Auto-generated complaint note",cancelled,None,29,30.17,1,1
baaeae3c-c1f8-11f0-8e3d-489ebd4daa67,97f7eda4-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00100,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",failed,None,41,38.72,1,0
baaeaf50-c1f8-11f0-8e3d-489ebd4daa67,97f7f5dc-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00035,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",returned,None,34,31.83,1,0
baaeb05e-c1f8-11f0-8e3d-489ebd4daa67,97f7f9a6-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00006,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",delivered,None,44,30.68,1,0
baaeb1ff-c1f8-11f0-8e3d-489ebd4daa67,97f8026a-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00049,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",returned,None,33,44.9,1,0
baaeb2e9-c1f8-11f0-8e3d-489ebd4daa67,97f804c9-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00062,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",failed,None,42,41.62,1,0
baaeb466-c1f8-11f0-8e3d-489ebd4daa67,97f80c2a-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00040,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",cancelled,None,39,14.52,1,1
baaeb5b3-c1f8-11f0-8e3d-489ebd4daa67,97f8119d-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00054,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,missing_item,"Auto-generated complaint note",cancelled,None,30,19.6,1,1
baaeb6ac-c1f8-11f0-8e3d-489ebd4daa67,97f8148f-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00027,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",failed,None,38,39.47,1,0
baaeb783-c1f8-11f0-8e3d-489ebd4daa67,97f81684-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00022,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,missing_item,"Auto-generated complaint note",failed,None,35,35.61,1,0
baaeb9cd-c1f8-11f0-8e3d-489ebd4daa67,97f825cf-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00100,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",cancelled,None,27,36.82,1,1
baaebab3-c1f8-11f0-8e3d-489ebd4daa67,97f82653-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00014,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,rude_courier,"Auto-generated complaint note",returned,None,40,13.97,1,0
baaebb8f-c1f8-11f0-8e3d-489ebd4daa67,97f8287b-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00045,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,rude_courier,"Auto-generated complaint note",cancelled,None,35,10.63,1,1
baaebc40-c1f8-11f0-8e3d-489ebd4daa67,97f828fc-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00044,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",delivered,None,40,46.23,1,0
baaebd6a-c1f8-11f0-8e3d-489ebd4daa67,97f82ef0-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00055,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,rude_courier,"Auto-generated complaint note",returned,None,42,45.79,1,0
baaebe1d-c1f8-11f0-8e3d-489ebd4daa67,97f82f71-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00006,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,rude_courier,"Auto-generated complaint note",cancelled,None,31,21.22,1,1
baaec09f-c1f8-11f0-8e3d-489ebd4daa67,97f8447e-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00087,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,missing_item,"Auto-generated complaint note",returned,None,26,36.41,1,0
baaec18d-c1f8-11f0-8e3d-489ebd4daa67,97f8474e-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00029,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,missing_item,"Auto-generated complaint note",cancelled,None,26,9,1,1
baaec2b4-c1f8-11f0-8e3d-489ebd4daa67,97f84b53-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00039,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",cancelled,None,26,47.78,1,1
baaec3e3-c1f8-11f0-8e3d-489ebd4daa67,97f85050-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00086,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,rude_courier,"Auto-generated complaint note",returned,None,42,30.5,1,0
baaec496-c1f8-11f0-8e3d-489ebd4daa67,97f850d4-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00082,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,rude_courier,"Auto-generated complaint note",failed,None,33,32.3,1,0
baaec569-c1f8-11f0-8e3d-489ebd4daa67,97f852d7-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00007,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,missing_item,"Auto-generated complaint note",failed,None,40,39.57,1,0
baaec68e-c1f8-11f0-8e3d-489ebd4daa67,97f85b87-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00065,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,missing_item,"Auto-generated complaint note",delivered,None,40,12.79,1,0
baaec73f-c1f8-11f0-8e3d-489ebd4daa67,97f85c7c-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00030,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,missing_item,"Auto-generated complaint note",cancelled,None,38,22.7,1,1
baaec8b0-c1f8-11f0-8e3d-489ebd4daa67,97f86b0b-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00098,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,missing_item,"Auto-generated complaint note",cancelled,None,32,18.36,1,1
baaec9a5-c1f8-11f0-8e3d-489ebd4daa67,97f87088-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00010,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,rude_courier,"Auto-generated complaint note",returned,None,32,27.93,1,0
baaecb62-c1f8-11f0-8e3d-489ebd4daa67,97f8801a-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00062,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,missing_item,"Auto-generated complaint note",delivered,None,43,13.9,1,0
baaecc3f-c1f8-11f0-8e3d-489ebd4daa67,97f881e5-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00018,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",delivered,None,33,39.55,1,0
baaecd08-c1f8-11f0-8e3d-489ebd4daa67,97f88dff-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00031,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",failed,None,43,42.05,1,0
baaece04-c1f8-11f0-8e3d-489ebd4daa67,97f890aa-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00008,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,missing_item,"Auto-generated complaint note",failed,None,28,29.41,1,0
baaecfb5-c1f8-11f0-8e3d-489ebd4daa67,97f89925-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00027,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,missing_item,"Auto-generated complaint note",failed,None,29,17.88,1,0
baaed073-c1f8-11f0-8e3d-489ebd4daa67,97f89a05-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00005,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",delivered,late,30,17.96,1,0
baaed12f-c1f8-11f0-8e3d-489ebd4daa67,97f89ae9-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00022,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",delivered,None,40,12.38,1,0
baaed277-c1f8-11f0-8e3d-489ebd4daa67,97f8a040-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00056,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",failed,None,35,34.36,1,0
baaed3d6-c1f8-11f0-8e3d-489ebd4daa67,97f8a744-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00063,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",cancelled,None,25,14.05,1,1
baaed4dd-c1f8-11f0-8e3d-489ebd4daa67,97f8aa47-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00088,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,missing_item,"Auto-generated complaint note",delivered,None,41,39.92,1,0
baaed604-c1f8-11f0-8e3d-489ebd4daa67,97f8ae28-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00048,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,missing_item,"Auto-generated complaint note",delivered,None,33,8.33,1,0
baaed71a-c1f8-11f0-8e3d-489ebd4daa67,97f8b1ff-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00036,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",cancelled,None,30,17.23,1,1
baaed7ed-c1f8-11f0-8e3d-489ebd4daa67,97f8b2db-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00079,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",delivered,None,39,23.65,1,0
baaed8c1-c1f8-11f0-8e3d-489ebd4daa67,97f8b48a-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00028,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,rude_courier,"Auto-generated complaint note",failed,None,27,40.29,1,0
baaed9ff-c1f8-11f0-8e3d-489ebd4daa67,97f8b88c-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00073,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,late_delivery,"Auto-generated complaint note",delivered,None,34,29.95,1,0
baaedb05-c1f8-11f0-8e3d-489ebd4daa67,97f8bb16-c1f8-11f0-8e3d-489ebd4daa67,CUS_1_00083,RST_1_011,1,Berlin,COU_1_0922,Courier_COU_1_0922,rude_courier,"Auto-generated complaint note",failed,None,33,22.21,1,0
